Package,LibPath,Version,Priority,Built
haven,C:/Program Files/R/R-3.4.0/library,1.1.0,NA,3.4.1
here,C:/Program Files/R/R-3.4.0/library,0.1,NA,3.4.3
hexbin,C:/Program Files/R/R-3.4.0/library,1.27.1,NA,3.4.0
highr,C:/Program Files/R/R-3.4.0/library,0.6,NA,3.4.0
Hmisc,C:/Program Files/R/R-3.4.0/library,4.0-2,NA,3.4.0
hms,C:/Program Files/R/R-3.4.0/library,0.3,NA,3.4.0
htmlTable,C:/Program Files/R/R-3.4.0/library,1.9,NA,3.4.0
htmltools,C:/Program Files/R/R-3.4.0/library,0.3.6,NA,3.4.0
htmlwidgets,C:/Program Files/R/R-3.4.0/library,0.9,NA,3.4.1
httpuv,C:/Program Files/R/R-3.4.0/library,1.3.5,NA,3.4.1
httr,C:/Program Files/R/R-3.4.0/library,1.3.1,NA,3.4.1
ini,C:/Program Files/R/R-3.4.0/library,0.3.0,NA,3.4.3
installr,C:/Program Files/R/R-3.4.0/library,0.19.0,NA,3.4.0
iterators,C:/Program Files/R/R-3.4.0/library,1.0.8,NA,3.4.0
jpeg,C:/Program Files/R/R-3.4.0/library,0.1-8,NA,3.4.0
jqr,C:/Program Files/R/R-3.4.0/library,0.2.4,NA,3.4.1
jsonlite,C:/Program Files/R/R-3.4.0/library,1.5,NA,3.4.1
jsonvalidate,C:/Program Files/R/R-3.4.0/library,1.0.0,NA,3.4.1
kernlab,C:/Program Files/R/R-3.4.0/library,0.9-25,NA,3.4.0
KernSmooth,C:/Program Files/R/R-3.4.0/library,2.23-15,recommended,3.4.0
knitr,C:/Program Files/R/R-3.4.0/library,1.16,NA,3.4.0
labeling,C:/Program Files/R/R-3.4.0/library,0.3,NA,3.4.0
lattice,C:/Program Files/R/R-3.4.0/library,0.20-35,recommended,3.4.0
latticeExtra,C:/Program Files/R/R-3.4.0/library,0.6-28,NA,3.4.0
lazyeval,C:/Program Files/R/R-3.4.0/library,0.2.0,NA,3.4.0
leaflet,C:/Program Files/R/R-3.4.0/library,1.1.0.9000,NA,3.4.0
lettercase,C:/Program Files/R/R-3.4.0/library,0.13.1,NA,3.4.2
lubridate,C:/Program Files/R/R-3.4.0/library,1.6.0,NA,3.4.0
magrittr,C:/Program Files/R/R-3.4.0/library,1.5,NA,3.4.0
mapdata,C:/Program Files/R/R-3.4.0/library,2.2-6,NA,3.4.1
mapproj,C:/Program Files/R/R-3.4.0/library,1.2-4,NA,3.4.0
maps,C:/Program Files/R/R-3.4.0/library,3.2.0,NA,3.4.1
maptools,C:/Program Files/R/R-3.4.0/library,0.9-2,NA,3.4.1
markdown,C:/Program Files/R/R-3.4.0/library,0.8,NA,3.4.0
MASS,C:/Program Files/R/R-3.4.0/library,7.3-47,recommended,3.4.0
Matrix,C:/Program Files/R/R-3.4.0/library,1.2-9,recommended,3.4.0
mclust,C:/Program Files/R/R-3.4.0/library,5.2.3,NA,3.4.0
memoise,C:/Program Files/R/R-3.4.0/library,1.1.0,NA,3.4.0
methods,C:/Program Files/R/R-3.4.0/library,3.4.0,base,3.4.0
mgcv,C:/Program Files/R/R-3.4.0/library,1.8-17,recommended,3.4.0
mime,C:/Program Files/R/R-3.4.0/library,0.5,NA,3.4.0
miniUI,C:/Program Files/R/R-3.4.0/library,0.1.1,NA,3.4.0
mnormt,C:/Program Files/R/R-3.4.0/library,1.5-5,NA,3.4.0
modelr,C:/Program Files/R/R-3.4.0/library,0.1.0,NA,3.4.0
